name,type,link,notes,keywords
JPS Hebrew-English TANAKH,Paper book,https://www.amazon.com/gp/product/0827606974/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1,,Tanakh
The Torah: A Women's Commentary,Paper book,https://www.amazon.com/Torah-Dr-Tamara-Cohn-Eshkenazi/dp/B00461M8J0,,"Torah,Women's Perspective"
Safaria.org,Website,https://www.sefaria.org/texts,,"Tanakh,Mishnah,Talmud,Midrash,Halakhah"
Who Wrote the Bible?,Paper book,https://www.amazon.com/gp/product/0139585133/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1,,"Tanakh,Bible"
