name,type,link,notes,keywords
There Shall Be No Needy,Paper book,https://www.amazon.com/There-Shall-Be-Needy-Tradition/dp/1580234259,,"Social Justice,Jewish Approach,Tzedakah"
"Righteous Indignation: A Jewish Call for Justice",Paper book,https://www.amazon.com/Righteous-Indignation-Jewish-Call-Justice/dp/1580233368,,"Social Justice,Jewish Law,Jewish Tradition"
"Recharging Judaism: How Civic Engagement is Good for Synagogues, Jews, and America",Paper book,https://www.amazon.com/Recharging-Judaism-Engagement-Synagogues-America/dp/0881233080,,"Social Justice,America,Civic Engagement"
